0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0.05121023,0.09063256,0.1302168,0.1403377,0.248104,0.2734045,0.2363019,0.2712793,0.3662439,0.5072172,0.4167981,0.203238,0.09763679,0.1495837,0.2107776,0.2272293,0.2059888,0.1900259,0.19517,0.2035186,0.2050538,0.2087925,0.2281164,0.2674241,0.2910711,0.3234624,0.3532823,0.3727821,0.3788307,0.3871034,0.3884732,0.3989419,0.4097715,0.4259535,0.4310263,0.4276275,0.4069343,0.3977635,0.3979597,0.4003914,0.360804,0.3220959,0.284952,0.268509,0.2611522,0.2362874,0.1791516,0.1101788,0.06730135,0.08448989,0.09056924,0.05798818,-0.004295474,-0.06019713,-0.09728605,-0.1697698,-0.2247379,-0.2618523,-0.305473,-0.3602859,-0.4248538,-0.5033626,-0.5663265,-0.6472536,-0.7348635,-0.8231965,-0.820279,-0.7294056,-0.6603083,-0.6014562,0.6108476,3.064523,0.4058443,-0.2892575,0.1758758,0.4982288,0.5929659,0.4028611,0.249855,0.3361219,,,,,,,,,,,,,,,,,,,
0.1973883,0.2704417,0.256287,0.2200087,0.2150609,0.2013825,0.1677309,0.181728,0.1282702,0.3060584,0.3853958,0.3749822,0.4253765,0.5241358,0.5804078,0.7453365,0.6498326,0.5323497,0.562766,0.6755623,1.064292,0.653695,0.4066687,0.1584512,-0.02687189,-0.1301563,-0.2315085,-0.2834228,-0.3093466,-0.2746332,-0.2127172,-0.1398808,-0.07582459,-0.04821577,-0.08413415,-0.1289177,-0.1439914,-0.1015393,-0.03812843,0.04363598,0.09802591,0.142744,0.1736315,0.2296732,0.3267481,0.4553656,0.5696512,0.6503437,0.7419439,0.802473,0.8396025,0.8656396,0.921261,0.8564003,0.5796326,0.1517595,-0.322673,-0.6810795,-0.9634611,-1.214437,-1.464525,-1.663616,-1.81141,-1.827557,-1.679152,-1.432298,-1.1745,-0.8951641,0.5979907,1.583396,0.1311853,-0.09632109,1.118993,0.8497964,0.9628169,0.444769,0.467504,0.3359433,,,,,,,,,,,,,,,,,,,,,
0.1562701,0.2214075,0.2772074,0.3114484,0.3433477,0.3742422,0.3541739,0.3344522,0.3183827,0.40803,0.4818157,0.417921,0.4805243,0.6398969,0.6131163,0.520468,0.6654208,0.9394157,0.6219608,0.8287503,0.8570286,1.275975,1.273699,0.9034911,0.5626612,0.2481855,0.06650618,-0.07361588,-0.1394852,-0.199814,-0.2061342,-0.2075901,-0.2141546,-0.2136446,-0.1930135,-0.1777297,-0.1314371,-0.06515683,-0.01776103,0.04404927,0.1060597,0.1347099,0.1733883,0.2284319,0.3420878,0.4926733,0.632049,0.7364943,0.8199914,0.877893,0.9033934,0.9130104,0.8295896,0.5272264,-0.02279139,-0.6733886,-1.209116,-1.460462,-1.630935,-1.762512,-1.880483,-2.044853,-1.964781,-1.673844,-1.310479,-0.9286753,0.1504048,0.9515659,0.2223602,0.2221724,1.038015,1.042027,0.9775721,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2147707,0.2529545,0.288899,0.3092882,0.3082891,0.3174171,0.3134584,0.2776,0.3676715,0.4279662,0.4503144,0.5530846,0.5908865,0.3390936,0.3704004,0.7842524,0.6539425,1.021852,1.005849,0.7744927,1.383266,0.9284915,0.6857894,0.4561744,0.2112712,0.04167445,-0.07545484,-0.1295227,-0.135505,-0.1749176,-0.2292499,-0.3117635,-0.3494509,-0.319414,-0.2504654,-0.1568158,-0.05984462,-0.0001047463,0.02257405,0.005141898,-0.01544668,-0.003083949,0.08807195,0.2260922,0.3719764,0.5038619,0.6376708,0.7824982,0.8586375,0.9006139,0.8477206,0.672341,0.1922672,-0.263934,-0.4246127,-0.9871225,-1.562112,-1.704762,-1.861421,-1.98247,-2.012274,-1.902759,-2.046088,-2.189418,0.01320592,1.873899,0.7149571,0.9156208,1.624725,1.095311,0.1680354,-0.001447203,0.08271008,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1757602,0.2036569,0.2296491,0.2453267,0.261188,0.2684004,0.2590172,0.2497297,0.2680355,0.4107236,0.5996773,0.8190849,0.255595,0.06996281,0.4580366,0.6186959,0.5162946,0.9316855,0.7794645,0.8543953,1.304968,0.7514856,0.4235276,0.1447584,-0.04515132,-0.2158036,-0.3337301,-0.3466995,-0.3035873,-0.2633446,-0.2421784,-0.2341416,-0.2252903,-0.1793759,-0.1102405,-0.0503793,0.01011811,0.04568306,0.03655782,-0.002539829,-0.02518681,-0.0161303,0.0649302,0.192253,0.3783315,0.5597333,0.6788179,0.7519415,0.7615073,0.7263395,0.6239364,0.461744,0.1396287,-0.3352884,-0.9257743,-1.429125,-1.67604,-1.778271,-1.872852,-1.861613,-1.814281,-1.638283,-1.302786,-2.61766,-0.2026996,1.949622,0.09134799,0.3137033,1.160573,0.5340276,0.4202009,0.004805187,0.002750867,0.3247839,,,,,,,,,,,,,,,,,,,,,,,,,
0.07193871,0.08323085,0.1081153,0.1225465,0.1542701,0.1700314,0.185232,0.2086856,0.2518806,0.3046432,0.3701444,0.3869518,0.3828965,0.3718111,0.4776134,0.4643212,0.1639784,0.07542533,0.2562904,-0.1360444,0.154548,0.3711269,0.2370524,0.6890364,1.215809,0.8096495,0.4038807,0.09501836,-0.1135988,-0.2467474,-0.262701,-0.2412416,-0.2414027,-0.2395226,-0.240605,-0.2279154,-0.1717902,-0.06830867,0.07867975,0.1961964,0.2483973,0.2200223,0.1321466,0.03472662,-0.0488276,-0.110567,-0.2200311,-0.3278264,-0.4601697,-0.6801954,-0.9402015,-1.275241,-1.614912,-1.826359,-1.915817,-1.874588,-1.877405,-1.795803,-1.693665,-1.580483,-1.42292,-0.9121839,-1.463945,-1.317765,-0.3281475,0.4623912,0.49995,-0.2614903,-0.3687875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2942539,0.3458267,0.2554809,0.1783171,0.09680847,0.1605859,0.2243632,0.4049209,0.3772313,0.2481103,0.2116402,0.1962354,0.22898,0.2602099,0.1651793,-0.002850434,-0.1674982,-0.290337,-0.4257371,-0.5696975,-0.6877927,-0.8003653,-0.7916413,-0.751513,-1.051288,-0.2257532,0.1649266,0.125316,-0.2110007,0.0537997,0.0401872,0.07230092,0.1246767,0.09075554,0.08026825,0.06978097,0.05929368,0.04880639,0.03831911,0.02783182,0.01734454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05010679,0.3071158,0.3856331,0.3013968,-0.02831703,-0.1106973,-0.1025822,0.5431003,0.6511827,0.5412102,0.385807,0.2283242,0.08760308,0.04018761,0.02587548,-0.008452449,-0.04868423,-0.116952,-0.1675152,-0.2245747,-0.2273584,-0.2122287,-0.1788355,-0.1577321,-0.1389743,-0.1178515,-0.1180486,-0.1010794,-0.09333995,-0.07478999,-0.02945503,0.02653677,0.1352915,0.2647466,0.3925402,0.4938126,0.5908303,0.6285285,0.6615322,0.6633042,0.6406599,0.5474992,0.4014013,0.2333395,0.03409072,-0.2172635,-0.5176306,-0.8365514,-1.115554,-1.305746,-1.41299,-1.525781,-1.636231,-1.645267,-1.513729,-1.35247,-1.049381,-1.705974,0.382704,1.725088,0.8926141,0.4536489,0.8562257,0.8007879,0.3243261,0.2040693,0.1241696,0.112758,0.3119321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2994071,0.3202179,0.3256539,0.3229684,0.3046559,0.2901784,0.3058603,0.3273715,0.4022075,0.4870781,0.4924251,0.3813562,0.3228176,0.8399359,0.858259,0.4372073,0.4917199,0.4650136,1.185497,1.0697,0.8604585,0.5888059,0.3118082,0.1065011,-0.0100532,-0.1012786,-0.1529582,-0.1847388,-0.1936161,-0.2025868,-0.221982,-0.2609535,-0.2567578,-0.2298058,-0.1776582,-0.1130398,-0.04044808,0.02371348,0.07518753,0.1000998,0.1376931,0.2220666,0.371861,0.5364326,0.6555813,0.7019375,0.7381812,0.8224779,0.9498299,0.9675768,0.7492644,0.2554475,-0.3402024,-0.824842,-1.19505,-1.469254,-1.660144,-1.849782,-1.970416,-1.954921,-1.790182,-1.496656,-1.164391,-0.7416344,0.6804556,1.563449,0.1676866,-0.04365438,0.8551836,0.7416405,0.7628512,0.3589122,0.3931527,0.2586929,,,,,,,,,,,,,,,,,,,,,,,,,
0.2746363,0.2986476,0.3002431,0.2929086,0.2723302,0.313031,0.3960248,0.435404,0.4906106,0.6907431,0.4088863,0.1127078,0.4479485,0.7132952,0.6016004,0.9644789,0.9895236,0.929623,1.353404,0.8644285,0.6128277,0.353381,0.09493678,-0.09209457,-0.1734438,-0.2263394,-0.2664449,-0.2896293,-0.3127647,-0.3134103,-0.3116071,-0.2757752,-0.2162855,-0.1628507,-0.102976,-0.04312229,0.01988995,0.07378817,0.1289127,0.1581855,0.2079817,0.288272,0.4111735,0.5128093,0.6235096,0.7201215,0.7971288,0.8299281,0.7171666,0.4025857,-0.1012914,-0.6913569,-1.183877,-1.512285,-1.814177,-2.028868,-2.090951,-2.078957,-1.969329,-1.729518,-1.199517,-1.035506,0.698146,1.260919,0.5993506,0.8219175,1.235332,0.857568,0.242907,0.162826,0.2957708,0.09912934,-0.02111427,,,,,,,,,,,,,,,,,,,,,,,,,,
